,region,lat,lon,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9
3158,Upper Midwest,49.49999999999999,-95.2000000000017,8.700348,1.4291108,97639.44,0.6657467,-3.2542114,-0.0050967336,3842.5706,8.068334,3.0742188,0.33776855
3159,Upper Midwest,49.49999999999999,-95.1000000000017,9.003082,1.5882254,97645.44,0.75754356,-3.7297974,-0.0046232194,3870.9517,7.742778,2.8118896,0.0
3160,Upper Midwest,49.49999999999999,-95.0000000000017,9.508942,1.6902089,97602.44,0.8141842,-4.196594,-0.004462965,3899.805,7.442222,1.1303711,0.35998535
3161,Upper Midwest,49.49999999999999,-94.90000000000173,9.505035,1.8292964,97574.44,0.7468014,-4.6155396,-0.0054883733,3936.8484,7.32,2.7945557,2.2648926
3723,Upper Midwest,49.39999999999999,-95.30000000000167,8.549957,0.91159344,97453.44,0.6969967,-2.730774,-0.0060203373,3827.4016,8.475,3.0585938,1.5736084
3724,Upper Midwest,49.39999999999999,-95.2000000000017,8.829254,1.0356754,97506.44,0.8063717,-3.217102,-0.0063242093,3855.7456,8.11,3.1287842,1.8428955
3725,Upper Midwest,49.39999999999999,-95.1000000000017,9.087067,1.079455,97578.44,0.9303951,-3.7190552,-0.0067486465,3884.115,7.7022223,3.1411133,0.09631348
3726,Upper Midwest,49.39999999999999,-95.0000000000017,9.573395,1.1926293,97594.44,0.96359825,-4.177063,-0.005428925,3913.235,7.4311113,1.6081543,0.64245605
3727,Upper Midwest,49.39999999999999,-94.90000000000173,10.055817,1.3857484,97590.44,0.8913326,-4.587219,-0.003533125,3943.23,7.3155556,0.0,0.0
3728,Upper Midwest,49.39999999999999,-94.80000000000172,10.241364,1.6541183,97566.44,0.7204342,-4.949524,-0.003600344,3974.061,7.3461113,0.0,0.0
3729,Upper Midwest,49.39999999999999,-94.70000000000172,10.049957,1.8238872,97479.44,0.5827389,-5.3391724,-0.0031681135,4015.0571,7.3305554,1.6218262,1.861084
4290,Upper Midwest,49.29999999999999,-95.30000000000167,8.671051,0.67450106,97378.44,0.8835201,-2.840149,-0.0067481324,3843.2117,8.512222,3.1054688,0.0
4291,Upper Midwest,49.29999999999999,-95.2000000000017,8.969879,0.7814914,97448.44,1.0260983,-3.4280396,-0.007641241,3875.338,8.097777,3.1279297,0.0
4292,Upper Midwest,49.29999999999999,-95.1000000000017,9.264801,0.82176924,97538.44,1.1550045,-3.9309692,-0.008388713,3903.7139,7.675,3.081543,0.0
4293,Upper Midwest,49.29999999999999,-95.0000000000017,9.501129,0.94394386,97601.44,1.1745358,-4.385071,-0.0069172382,3933.0056,7.4283333,3.8825684,0.0
4294,Upper Midwest,49.29999999999999,-94.90000000000173,9.977692,1.1302233,97631.44,1.1110592,-4.7991333,-0.004766442,3962.9944,7.302778,2.4041748,0.0
4295,Upper Midwest,49.29999999999999,-94.80000000000172,10.473785,1.3990104,97626.44,0.94016075,-5.163391,-0.0037440732,3993.8906,7.3333335,0.0,0.0
4296,Upper Midwest,49.29999999999999,-94.70000000000172,10.633942,1.6679764,97546.44,0.76828575,-5.527649,-0.0038148537,4024.7473,7.363333,0.0,0.0
4858,Upper Midwest,49.19999999999999,-95.30000000000167,8.985504,1.1529028,97492.44,1.2507076,-3.5940552,-0.00769718,3873.6133,8.571111,3.3482666,0.0
4859,Upper Midwest,49.19999999999999,-95.2000000000017,9.315582,1.4227331,97546.44,1.4294186,-4.387024,-0.007199168,3915.0078,8.155,4.013916,0.0
4860,Upper Midwest,49.19999999999999,-95.1000000000017,9.907379,1.5200227,97600.44,1.5700436,-4.963196,-0.006423317,3946.6545,7.7466664,1.732544,0.0
4861,Upper Midwest,49.19999999999999,-95.0000000000017,10.444489,1.6596019,97635.44,1.5905514,-5.435852,-0.0040804297,3976.8545,7.5,0.0,0.0
4862,Upper Midwest,49.19999999999999,-94.90000000000173,10.667145,1.8448383,97634.44,1.5300045,-5.8518677,-0.004174605,4006.8828,7.365556,0.0,0.0
4863,Upper Midwest,49.19999999999999,-94.80000000000172,10.842926,2.1591635,97630.44,1.3395748,-6.1848755,-0.004222341,4037.4795,7.403333,0.0,0.0
4864,Upper Midwest,49.19999999999999,-94.70000000000172,10.919098,2.5755465,97596.44,1.1051998,-6.4436646,-0.0050356686,4067.1882,7.456111,0.2919922,0.29284668
5142,Northwest,49.09999999999999,-123.00000000000011,14.83316,0.0,100994.44,0.5143795,-0.864563,-0.0029119551,4023.0977,523.64056,3.9536133,2.7872314
5144,Northwest,49.09999999999999,-122.80000000000013,14.348785,0.0,100623.44,0.27023888,-0.9651489,-0.003134966,4003.8018,520.4978,4.029175,2.88208
5145,Northwest,49.09999999999999,-122.70000000000012,14.563629,0.0,100565.44,-0.08425331,-0.94366455,-0.0033957139,3992.5283,520.88776,3.9592285,2.7426758
5146,Northwest,49.09999999999999,-122.60000000000014,14.469879,0.0,100694.44,-0.368433,-0.92510986,-0.003565058,3983.895,520.76556,3.855957,0.8293457
5147,Northwest,49.09999999999999,-122.50000000000014,14.626129,0.0,100724.44,-0.51589394,-0.87042236,-0.0035584942,3979.4612,519.6617,3.9533691,1.1000977
5148,Northwest,49.09999999999999,-122.40000000000016,14.903473,0.0,100611.44,-0.58034706,-0.7649536,-0.0034220591,3977.321,517.8161,4.1885986,2.973999
5149,Northwest,49.09999999999999,-122.30000000000015,14.393707,0.0,99785.44,-0.899683,-0.47003174,-0.003022775,3964.7761,516.62555,4.271118,2.9708252
5150,Northwest,49.09999999999999,-122.20000000000016,14.368317,0.0,99478.44,-1.2190189,-0.17510986,-0.0027341992,3952.2466,515.43,4.281616,2.01062
5151,Northwest,49.09999999999999,-122.10000000000016,14.680817,0.0,99510.44,-1.5324955,0.116882324,-0.0025364086,3939.6816,514.2267,4.2425537,0.15722656
5152,Northwest,49.09999999999999,-122.00000000000016,14.147614,0.0,98354.44,-1.3723392,0.27313232,-0.0023669451,3925.1333,512.49554,4.159424,2.0274658
5153,Northwest,49.09999999999999,-121.90000000000018,13.942535,0.0,96267.44,-1.1701908,0.416687,-0.0023974553,3910.4517,510.71445,4.0161133,2.829834
5154,Northwest,49.09999999999999,-121.80000000000018,14.116364,0.0,93260.44,-0.9406986,0.5524292,-0.0026477426,3895.6729,508.90332,3.7941895,2.8304443
5155,Northwest,49.09999999999999,-121.7000000000002,13.256989,0.0,90449.44,-0.93190956,0.74871826,-0.0029155612,3879.7034,507.22723,3.7979736,2.0922852
5156,Northwest,49.09999999999999,-121.6000000000002,12.46402,0.0,88173.44,-0.9641361,0.8307495,-0.003192097,3863.6477,505.58167,3.699829,1.7877197
5157,Northwest,49.09999999999999,-121.5000000000002,11.719879,0.0,86541.44,-1.0432377,0.7536011,-0.003449522,3846.8623,503.9539,3.4118652,2.7410889
5158,Northwest,49.09999999999999,-121.4000000000002,12.02066,0.0,86563.44,-1.1115971,0.5543823,-0.0036904514,3834.7483,502.42667,3.425537,2.0489502
5159,Northwest,49.09999999999999,-121.3000000000002,12.690582,0.0,87176.44,-1.1633549,0.37664795,-0.004312016,3823.389,500.9178,3.380127,1.2495117
5160,Northwest,49.09999999999999,-121.20000000000022,13.862457,0.0,88632.44,-1.1740971,0.29266357,-0.005933948,3812.5894,499.43222,3.1470947,0.31262207
5161,Northwest,49.09999999999999,-121.10000000000022,14.434723,0.0,88651.44,-1.1330814,0.322937,-0.008177333,3802.5278,497.95776,2.9434814,0.0
