,region,fips,lat,lon,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,time
1,AZ,04003,31.634765,-110.316736,6.09835751449355,>2000m,Steep,18.0,0.2824786600469538,12.4638895104,37.06577445229141,9.786666666666669,12.933333333333334,973.0,1.0,7.0,12.0,2001
2,AZ,04003,31.451166,-109.789671,0.4623570474705,>2000m,Gentle,47.0,0.803359529055142,2.0808732224,14.826309780916564,6.7,8.0,973.0,3.0,7.0,13.0,2001
3,AZ,04003,32.254338,-109.718249,0.1903870788592,>2000m,Flat,0.0,0.8456874180534241,2.3974704512,12.355258150763802,5.64,5.0,973.0,3.0,7.0,11.0,2001
5,AZ,04003,31.924819,-110.443728,2.0180842961922,>2000m,Flat,0.0,0.8297706069605145,5.6786629184,24.710516301527605,8.379999999999999,10.8,973.0,1.0,7.0,13.0,2001
6,AZ,04003,31.446407,-109.216663,0.42081669321675,>2000m,Flat,0.0,0.8531285230170832,6.2797408128,22.239464671374844,5.1,5.333333333333333,973.0,3.0,7.0,13.0,2001
8,AZ,04007,33.260606,-110.945713,1.7888885460193,>2000m,Flat,172.0,0.8803379169319984,6.070604364799999,17.297361411069325,9.514285714285714,15.428571428571429,184.0,1.0,7.0,11.0,2001
9,AZ,04007,34.249801,-111.540429,5.2061458289734,>2000m,Flat,140.0,0.8610218492288726,20.8732637888,37.06577445229141,13.0,14.866666666666667,184.0,1.0,7.0,11.0,2001
10,AZ,04007,33.811671,-110.778343,0.868601048642,>2000m,Flat,160.0,0.8732836757257179,4.2910161856,14.826309780916564,9.133333333333333,10.166666666666666,184.0,1.0,7.0,11.0,2001
11,AZ,04007,33.915537,-111.183461,4.40189664464305,>2000m,Steep,301.0,0.5633202020895888,15.5343615104,37.06577445229141,10.926666666666668,15.933333333333334,185.0,1.0,7.0,22.0,2001
12,AZ,04007,34.113898,-111.330873,2.1880351344463,>2000m,Steep,330.0,0.3996089357490737,7.3008592768,19.76841304122208,10.1625,13.125,184.0,1.0,7.0,12.0,2001
13,AZ,04007,34.254539,-111.445824,1.5288330985813,>2000m,Gentle,15.0,0.6576637152634813,5.4754952384,14.826309780916564,10.766666666666666,17.166666666666668,185.0,1.0,7.0,12.0,2001
14,AZ,04007,33.441719,-110.515026,1.8026003030919,>2000m,Flat,0.0,0.8147057854186407,3.3495348608,4.942103260305521,14.55,17.5,973.0,1.0,7.0,13.0,2001
15,AZ,04007,33.982823,-111.3256,0.3327033334629,>2000m,Moderate,45.0,0.5720257892151384,1.3848230464,9.88420652061104,6.625,13.0,999.0,5.0,7.0,12.0,2001
